VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;VALKRETSKOD;VALKRETSNAMN;LÄNSKOD;LÄNSNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;ANMÄLNINGSDATUM;BESLUTSDATUM;DIARIENUMMER;REGISTRERADPARTIBETECKNING;ANMÄLDAKANDIDATER;DELTAGANDEGRUND
KF;0488;Trosa;048800;Trosa;04;Södermanland;Vinningspartiet; ;1468;2021-01-28;2021-04-27;20031-21/98234;N;N;A;
KF;0488;Trosa;048800;Trosa;04;Södermanland;Vänsterpartiet;V;0005;2018-09-09;2018-09-09; ;J;J;R;
KF;0488;Trosa;048800;Trosa;04;Södermanland;Vänsterpartiet;V;0005;2022-04-05;2022-04-05; ;J;J;K;
KF;0488;Trosa;048800;Trosa;04;Södermanland;Yggdrasil; ;1454;2020-09-30;2020-11-24;200122-20/98234;N;N;A;
KF;0488;Trosa;048800;Trosa;04;Södermanland;Ändrings partiet revolution; ;1404;2021-08-20;2021-08-24;200147-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2022-04-21;2022-04-21; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Centerpartiet;C;0004;2022-04-18;2022-04-18; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Enhet;ENH;0189;2022-04-20;2022-05-23;VAL-322;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;EUSEC; ;1534;2022-02-08;2022-03-17;VAL-134;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-01-24;2022-02-08;VAL-93;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-04-17;2022-04-17; ;J;N;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;FOLKOMROSTA2021.SE; ;1489;2021-09-14;2021-09-28;2 00 170-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;FramtidsTro;FT;1449;2020-05-23;2020-07-02;200 72-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Fredspartiet; ;1484;2021-09-02;2021-09-09;2 00 162-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Fria Wermland; ;1548;2022-02-15;2022-03-23;VAL-166;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Frihetsrörelsen; ;1573;2022-03-16;2022-04-20;VAL-251;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Fritt val; ;1479;2021-06-16;2021-06-24;2 00 120-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Förenade Demokratiska Partiet; ;1577;2022-03-21;2022-04-13;VAL-265;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Företaget Sverige; ;1510;2021-12-10;2021-12-21;200288-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Gula västarna; ;1436;2019-02-26;2019-05-10;200 104119-19/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Humanistisk demokrati (HD);HD;1480;2021-06-28;2021-07-02;2 00 124-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kalle ankapartiet; ;1579;2022-03-22;2022-04-05;VAL-271;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kapitalism med vänligt ansikte; ;1495;2021-10-12;2021-10-19;2 00 197-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Klassiskt liberala partiet;KLP;0638;2022-01-16;2022-01-28;VAL-84;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kristdemokraterna;KD;0068;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kristdemokraterna;KD;0068;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kristna Värdepartiet; ;1551;2022-02-24;2022-03-17;VAL-186;J;J;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kristna Värdepartiet; ;1551;2022-04-15;2022-04-15; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Kärlek; ;1465;2021-01-28;2021-03-09;2 00 51-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Landsbygdspartiet Oberoende;LPo;1011;2022-02-21;2022-02-23;VAL-171;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Liberalerna (tidigare Folkpartiet);L;0003;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Liberalerna (tidigare Folkpartiet);L;0003;2022-04-20;2022-04-20; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Linköpingslistan; ;1458;2022-01-17;2022-01-20;VAL-80;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Medborgarresan; ;1330;2019-08-22;2019-10-14;200 360174-19/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Medborgerlig Samling;MED;1296;2020-12-12;2020-12-22;200 151-20/98234;J;J;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Medborgerlig Samling;MED;1296;2022-04-13;2022-04-13; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Miljöpartiet de gröna;MP;0055;2022-04-21;2022-04-21; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Miljöpartiet de gröna;MP;0055;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;MITT SVERIGE; ;1591;2022-04-20;2022-04-20;VAL-305;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Moderaterna;M;0001;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Moderaterna;M;0001;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Monisterna; ;1502;2021-11-17;2021-11-23;2 00 262-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Mälaröarnas parti; ;1440;2019-10-15;2019-10-31;200 428004-19/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Nationalsocialistiska reformistiska Partiet; ;1595;2022-04-11;2022-04-26;VAL-292;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;NaturFilosoferna; ;1460;2020-09-08;2020-12-22;200 103-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;NY REFORM; ;1528;2022-02-01;2022-03-17;VAL-115;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;OK; ;1478;2021-06-14;2021-06-24;2 00 117-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Partiet Folkomröstning; ;1578;2022-03-22;2022-05-02;VAL-270;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Partiet Nyans; ;1439;2019-10-03;2019-10-31;200 415580-19/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Partiet Vändpunkt;PV;1430;2021-11-18;2021-12-14;2 00 265-21/98234;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Pax; ;1491;2021-09-22;2021-09-28;200 174-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Piratpartiet;PP;0524;2022-04-25;2022-04-27;VAL-312;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Positivt Samhällsinitiativ (PSI); ;1475;2021-05-24;2021-06-22;200 101-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Rastliberalerna; ;1508;2021-09-29;2021-12-14;200 177-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Rikspolitiska partiet; ;1496;2021-10-08;2021-10-19;2 00 198-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;SKP; ;1586;2022-04-08;2022-05-23;VAL-289;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;SKÅNEPARTIET;SKÅ;0054;2022-05-06;2022-05-10;VAL-330;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Socialisterna-Välfärdspartiet;S-V;0977;2021-12-01;2021-12-21;200276-21/98234;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Sociallibertarianerna; ;1507;2021-12-02;2022-01-13;200 275-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Stora Norrlands oberoende Frihetsparti; ;1559;2022-02-24;2022-04-12;VAL-201;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Stram Kurs Sverige; ;1592;2022-04-20;2022-04-21;VAL-306;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Svenska Rikslagen; ;1513;2021-12-20;2021-12-21;200 298-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;SVENSKARNA; ;1444;2020-01-23;2020-03-06;200 22-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;2021-09-27;2021-10-05;200 180-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Sverigedemokraterna;SD;0110;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Sverigedemokraterna;SD;0110;2022-03-30;2022-03-30; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Sverigepartiet; ;1457;2020-10-23;2020-12-08;200129-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Swexitpartiet; ;1461;2020-11-24;2021-01-19;2007-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Säkerhetspartiet; ;1466;2021-02-12;2021-03-09;2 00 49-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;TRYGGHETSPARTIET;TRP;1309;2022-02-12;2022-02-17;VAL-150;J;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Vinningspartiet; ;1468;2021-01-28;2021-04-27;20031-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Vänsterpartiet;V;0005;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Vänsterpartiet;V;0005;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Yggdrasil; ;1454;2020-09-30;2020-11-24;200122-20/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Ändrings partiet revolution; ;1404;2021-08-20;2021-08-24;200147-21/98234;N;N;A;
RF;05;Östergötland;0501;Linköping;05;Östergötland;Östgötapartiet; ;1544;2022-04-18;2022-04-18; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2022-04-21;2022-04-21; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Centerpartiet;C;0004;2022-04-18;2022-04-18; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Enhet;ENH;0189;2022-04-20;2022-05-23;VAL-322;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;EUSEC; ;1534;2022-02-08;2022-03-17;VAL-134;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-04-17;2022-04-17; ;J;N;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-01-24;2022-02-08;VAL-93;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;FOLKOMROSTA2021.SE; ;1489;2021-09-14;2021-09-28;2 00 170-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;FramtidsTro;FT;1449;2020-05-23;2020-07-02;200 72-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Fredspartiet; ;1484;2021-09-02;2021-09-09;2 00 162-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Fria Wermland; ;1548;2022-02-15;2022-03-23;VAL-166;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Frihetsrörelsen; ;1573;2022-03-16;2022-04-20;VAL-251;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Fritt val; ;1479;2021-06-16;2021-06-24;2 00 120-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Förenade Demokratiska Partiet; ;1577;2022-03-21;2022-04-13;VAL-265;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Företaget Sverige; ;1510;2021-12-10;2021-12-21;200288-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Gula västarna; ;1436;2019-02-26;2019-05-10;200 104119-19/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Humanistisk demokrati (HD);HD;1480;2021-06-28;2021-07-02;2 00 124-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kalle ankapartiet; ;1579;2022-03-22;2022-04-05;VAL-271;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kapitalism med vänligt ansikte; ;1495;2021-10-12;2021-10-19;2 00 197-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Klassiskt liberala partiet;KLP;0638;2022-01-16;2022-01-28;VAL-84;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kristdemokraterna;KD;0068;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kristdemokraterna;KD;0068;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kristna Värdepartiet; ;1551;2022-02-24;2022-03-17;VAL-186;J;J;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kristna Värdepartiet; ;1551;2022-04-15;2022-04-15; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Kärlek; ;1465;2021-01-28;2021-03-09;2 00 51-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Landsbygdspartiet Oberoende;LPo;1011;2022-02-21;2022-02-23;VAL-171;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Liberalerna (tidigare Folkpartiet);L;0003;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Liberalerna (tidigare Folkpartiet);L;0003;2022-04-20;2022-04-20; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Linköpingslistan; ;1458;2022-01-17;2022-01-20;VAL-80;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Medborgarresan; ;1330;2019-08-22;2019-10-14;200 360174-19/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Medborgerlig Samling;MED;1296;2020-12-12;2020-12-22;200 151-20/98234;J;J;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Medborgerlig Samling;MED;1296;2022-04-13;2022-04-13; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Miljöpartiet de gröna;MP;0055;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Miljöpartiet de gröna;MP;0055;2022-04-21;2022-04-21; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;MITT SVERIGE; ;1591;2022-04-20;2022-04-20;VAL-305;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Moderaterna;M;0001;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Moderaterna;M;0001;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Monisterna; ;1502;2021-11-17;2021-11-23;2 00 262-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Mälaröarnas parti; ;1440;2019-10-15;2019-10-31;200 428004-19/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Nationalsocialistiska reformistiska Partiet; ;1595;2022-04-11;2022-04-26;VAL-292;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;NaturFilosoferna; ;1460;2020-09-08;2020-12-22;200 103-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;NY REFORM; ;1528;2022-02-01;2022-03-17;VAL-115;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;OK; ;1478;2021-06-14;2021-06-24;2 00 117-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Partiet Folkomröstning; ;1578;2022-03-22;2022-05-02;VAL-270;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Partiet Nyans; ;1439;2019-10-03;2019-10-31;200 415580-19/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Partiet Vändpunkt;PV;1430;2021-11-18;2021-12-14;2 00 265-21/98234;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Pax; ;1491;2021-09-22;2021-09-28;200 174-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Piratpartiet;PP;0524;2022-04-25;2022-04-27;VAL-312;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Positivt Samhällsinitiativ (PSI); ;1475;2021-05-24;2021-06-22;200 101-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Rastliberalerna; ;1508;2021-09-29;2021-12-14;200 177-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Rikspolitiska partiet; ;1496;2021-10-08;2021-10-19;2 00 198-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;SKP; ;1586;2022-04-08;2022-05-23;VAL-289;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;SKÅNEPARTIET;SKÅ;0054;2022-05-06;2022-05-10;VAL-330;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Socialisterna-Välfärdspartiet;S-V;0977;2021-12-01;2021-12-21;200276-21/98234;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Sociallibertarianerna; ;1507;2021-12-02;2022-01-13;200 275-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Stora Norrlands oberoende Frihetsparti; ;1559;2022-02-24;2022-04-12;VAL-201;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Stram Kurs Sverige; ;1592;2022-04-20;2022-04-21;VAL-306;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Svenska Rikslagen; ;1513;2021-12-20;2021-12-21;200 298-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;SVENSKARNA; ;1444;2020-01-23;2020-03-06;200 22-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;2021-09-27;2021-10-05;200 180-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Sverigedemokraterna;SD;0110;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Sverigedemokraterna;SD;0110;2022-03-30;2022-03-30; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Sverigepartiet; ;1457;2020-10-23;2020-12-08;200129-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Swexitpartiet; ;1461;2020-11-24;2021-01-19;2007-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Säkerhetspartiet; ;1466;2021-02-12;2021-03-09;2 00 49-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;TRYGGHETSPARTIET;TRP;1309;2022-02-12;2022-02-17;VAL-150;J;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Vinningspartiet; ;1468;2021-01-28;2021-04-27;20031-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Vänsterpartiet;V;0005;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Vänsterpartiet;V;0005;2022-04-19;2022-04-19; ;J;J;K;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Yggdrasil; ;1454;2020-09-30;2020-11-24;200122-20/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Ändrings partiet revolution; ;1404;2021-08-20;2021-08-24;200147-21/98234;N;N;A;
RF;05;Östergötland;0502;Norrköping;05;Östergötland;Östgötapartiet; ;1544;2022-04-18;2022-04-18; ;J;J;K;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2022-04-21;2022-04-21; ;J;J;K;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Centerpartiet;C;0004;2022-04-18;2022-04-18; ;J;J;K;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Enhet;ENH;0189;2022-04-20;2022-05-23;VAL-322;J;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;EUSEC; ;1534;2022-02-08;2022-03-17;VAL-134;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-01-24;2022-02-08;VAL-93;J;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Feministiskt initiativ;FI;0532;2022-04-17;2022-04-17; ;J;N;K;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;FOLKOMROSTA2021.SE; ;1489;2021-09-14;2021-09-28;2 00 170-21/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;FramtidsTro;FT;1449;2020-05-23;2020-07-02;200 72-20/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Fredspartiet; ;1484;2021-09-02;2021-09-09;2 00 162-21/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Fria Wermland; ;1548;2022-02-15;2022-03-23;VAL-166;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Frihetsrörelsen; ;1573;2022-03-16;2022-04-20;VAL-251;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Fritt val; ;1479;2021-06-16;2021-06-24;2 00 120-21/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Förenade Demokratiska Partiet; ;1577;2022-03-21;2022-04-13;VAL-265;J;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Företaget Sverige; ;1510;2021-12-10;2021-12-21;200288-21/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Gula västarna; ;1436;2019-02-26;2019-05-10;200 104119-19/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Humanistisk demokrati (HD);HD;1480;2021-06-28;2021-07-02;2 00 124-21/98234;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Kalle ankapartiet; ;1579;2022-03-22;2022-04-05;VAL-271;N;N;A;
RF;05;Östergötland;0503;Kinda Åtvid Valdemarsvik Söderköping;05;Östergötland;Kapitalism med vänligt ansikte; ;1495;2021-10-12;2021-10-19;2 00 197-21/98234;N;N;A;
